word,count
development,5
prototype,5
no borders,5
heritage site,5
museum,5
open roads,5
nature,5
erase,5
dissolve,5
people's vision,5
reunited Nicosia,5
no soldiers,5
wildlife,5
animals,5
national park,5
traces of division,5
a place for everybody,5
repopulate,5
reclaim,5
reoccupy,5
no physical borders,5
commercial streets,5
conservation,5
architectural perservation,5
architectural restoration,5
space of conversation,5
young people,5
united communities,5
artists,5
activities,5
exhibitions,5
markets,5
borders,5
lively space,5
dead space,5
back in time,5
open,5
revitalisation,5
common grounds,5
spread around,5
open checkpoints,5
nature reserve,5
reimagine the buildings,5
ruins,5
memory park,5
green zone,5
dense,5
connections,5
gardens,5
sports facilities,5
as it is,5
nature takes over,5
